Month,MainMeter,TotalConsumed,FirstFloor,SecondFloor,Water,WaterPerUnit,FirstFloorConsumed,SecondFloorConsumed,GroundFloorConsumed
August 24,230560,2068,11227.4,50855,7989.4,24,637,918,513
September 24,232299,1739,11816,51675,8068,26,615,846,278
October 24,233308,1009,12160.5,52118,8134.1,22,367,465,177
November 24,234337,1029,12440,52687,8208,24.6,304,594,131
December 24,234926,589,12566,52956,8283,25,151,294,144
January 25,235515,589,12781,53148,8354,23.7,239,216,134
February 25,236067,552,13034,53285,8407,17.7,271,155,126
March 25,236551,484,13202,53452,8461,18,186,185,113
April 25,237162,611,13363,53705,8534,24.3,185,277,149
May 25,238382,1220,13773,54267,8605,23.7,434,586,200
June 25,239712,1330,14206,54805,8669,21.3,454,559,317
July 25,241203,1491,14745,55230,8737,22.7,562,448,481
August 25,242521,1318,15268,55541,8802,21.7,545,333,440
September 25,243815,1294,15754,55982,8862,20,506,461,327
